Hour,01,02,03,04,05,06,07,08,09,10,11,12
00,0,0,0,0,0,0,0,0,0,0,0,0
01,0,0,0,0,0,0,0,0,0,0,0,0
02,0,0,0,0,0,0,0,0,0,0,0,0
03,0,0,0,0,0,0,0,0,0,0,0,0
04,0,0,0,0,0,0,0,0,0,0,0,0
05,0,0,0,34,264,362,240,45,0,0,0,0
06,0,0,225,784,1215,1215,931,867,778,339,0,0
07,741,1286,2012,2911,3250,3251,2861,3006,3130,2807,1836,760
08,3023,3489,3866,5338,5148,5066,5015,5082,5578,5518,3666,3821
09,5369,5538,5921,7121,6829,6900,6641,7195,7039,7110,5944,5140
10,6560,7060,7157,7847,7699,8253,7421,8395,8461,8476,6853,6240
11,7230,7717,7798,8237,7575,8521,8286,8225,8649,9251,7560,6276
12,7509,7761,8292,8885,7520,8244,8201,8216,8690,8561,7401,6619
13,6985,7588,8160,7863,7239,8103,7780,7846,7990,7872,6900,5606
14,6221,6309,6655,6906,5836,6574,6600,6693,6629,5734,5265,4819
15,3551,4766,5095,5348,4641,5148,5069,5069,4777,3932,3595,3410
16,1514,2601,2936,2713,2771,3296,3214,3221,2632,1561,725,219
17,0,226,749,862,1039,1281,1392,1210,540,0,0,0
18,0,0,0,15,236,444,403,131,0,0,0,0
19,0,0,0,0,0,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0,0,0,0,0,0
