,Demand,MCE,Total Ems,Avg Ems,Marginal Ems,Steam Turbine,Combined Cycle,Gas Turbine,Internal Combustion,Other Fossil,Other Peaker,Hydro,Wind,DR,Solar
00,71885.1953125,22.770000457763672,60324.19662108157,0.8391741353534571,52,45781.79999285936,13306.500015258789,6783.8999881744385,0.0,299.0,0.0,892.8999990075827,4829.000015445054,0.0,0.0
01,68012.796875,21.959999084472656,56768.46270584113,0.8346732573014941,52,43294.60000813007,12137.500015258789,6398.600015640259,0.0,299.0,0.0,892.8999990075827,5077.500015504658,0.0,0.0
02,65405.3984375,20.93000030517578,54873.36827922383,0.8389730754665404,27,42937.299993395805,10639.500015258789,5599.898414619267,0.0,299.0,0.0,892.8999990075827,5088.800015218556,0.0,0.0
03,64787.8046875,20.649999618530273,54641.83730872741,0.8433969567619857,4,42893.004667170346,10398.500015258789,5557.499990463257,0.0,301.0,0.0,892.8999990075827,4984.900015600026,0.0,0.0
04,66361.296875,20.950000762939453,56287.88773432961,0.8482035521450862,4,44293.396851070225,10646.000015258789,5627.199993133545,0.0,301.0,0.0,892.8999990075827,4720.800016529858,0.0,0.0
05,70520.0,21.90999984741211,59912.4921704662,0.849581567930604,52,46588.799998283386,11792.000015258789,6366.699993133545,0.0,305.0,0.0,892.8999990075827,4535.700010187924,0.0,24.0
06,75009.1953125,22.709999084472656,64222.0199346484,0.8561886268355426,52,49551.5,13233.000015258789,6819.500012397766,0.0,301.0,0.0,903.8999990075827,4130.500023789704,0.0,93.0
07,80229.0,24.799999237060547,69084.24179320864,0.8610881575640809,4,52352.39996344596,13826.000015258789,9394.300006866455,0.0,296.0,0.0,934.7999986261129,3587.5000158026814,0.0,286.0
08,86081.8046875,25.860000610351562,75200.67851423392,0.873595515187356,4,57705.60470134765,13946.699996948242,10243.800004005432,0.0,291.0,0.0,912.7999986261129,3187.8999865725636,0.0,502.0
09,91528.203125,27.25,80552.94332910301,0.8800887658538639,27,61780.80000305176,14257.099990844727,11523.903142645955,0.0,288.0,183.0,948.7999986261129,2802.5999898314476,0.0,664.0
10,96993.5,29.059999465942383,85258.33656814307,0.879010826170239,4,65145.40003643185,14318.900009155273,13361.299953460693,13.0,284.0,200.0,948.7999986261129,2793.1000023260713,0.0,742.0
11,100401.5078125,29.719999313354492,88198.73687506552,0.8784602820883608,4,67370.40784332901,14463.099990844727,14231.499983787537,16.0,283.0,198.0,978.7999986261129,2875.6999959126115,0.0,829.0
12,103476.6953125,31.1299991607666,90143.89739093157,0.8711516841419864,42,68228.59997558594,14566.500015258789,15810.200013160706,3.0,276.0,206.0,1422.5000108331442,3004.1999856308103,0.0,820.0
13,105111.0,32.0,91080.37004747296,0.8665160644221153,4,68626.09996445477,14547.699996948242,16641.700021743774,8.0,276.0,205.0,1809.5000108331442,3100.000006020069,0.0,778.0
14,106352.90625,32.7599983215332,91855.32216323703,0.8636841756568079,27,69095.79996871948,14542.199996948242,17078.206284329295,8.0,307.20000076293945,205.0,1941.9000047296286,3288.599994510412,0.0,660.0
15,106814.3984375,33.84000015258789,92810.81719329368,0.8688980001848703,27,69287.99994659424,14550.199996948242,18256.298480138183,5.0,317.0,200.0,1941.9000047296286,3371.0000090897083,0.0,507.0
16,107004.8984375,33.290000915527344,92337.3240354376,0.8629261406137447,27,69301.69994354248,14543.199996948242,17505.898512132466,5.0,318.0,198.0,1880.6999772638083,3372.4000076130033,0.0,321.0
17,106363.3984375,33.369998931884766,91990.9810236481,0.8648744058107803,27,69296.69994354248,14556.400009155273,16951.19851524383,0.0,345.0,198.0,1793.6999772638083,3312.3999922946095,0.0,139.0
18,103409.6953125,31.3700008392334,89680.42392083988,0.8672341954961689,4,68234.29532010108,14535.500015258789,15102.800008773804,0.0,303.1000003814697,201.0,1793.6999772638083,3272.0999899581075,0.0,40.0
19,99761.703125,29.469999313354492,87336.72069570892,0.8754533850156633,27,66683.69997406006,14537.500015258789,13923.60315528512,0.0,308.1000003814697,202.0,1032.799998626113,3279.9999813884497,0.0,0.0
20,96984.1953125,28.56999969482422,84873.96691941074,0.8751319392395019,4,64907.19535399228,14537.300003051758,12931.099962234497,0.0,303.80000019073486,202.0,1002.7999986261129,3334.999994404614,0.0,0.0
21,92075.8984375,27.010000228881836,80262.76515040724,0.8717022208030761,4,61754.79841995984,14493.300003051758,10897.900027275085,0.0,305.80000019073486,148.0,972.7999986261129,3514.299988396466,0.0,0.0
22,86017.0,25.139999389648438,74453.80600593255,0.8655708290911396,4,57173.7999721244,14236.900009155273,9435.400032997131,0.0,306.80000019073486,149.0,962.7999986261129,3764.2999869063497,0.0,0.0
23,80221.5,24.290000915527344,69310.17368826905,0.8639850125997276,4,53252.60001601279,13916.500015258789,8023.399984359741,0.0,306.0,149.0,941.7999986261129,3802.199985742569,0.0,0.0
